id,genre,song_name,artist_name,audio,img
2cbaCL38j8eUXBQjvLawET,BollyWood,"Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")",Pritam,https://p.scdn.co/mp3-preview/d18fd526c4a2d14386cc89a92c202a23b37f66be?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273aca38bbbc4bdaa23155b4802
2eTkxblLeqdTSsb2ivafDX,BollyWood,"Galliyan Returns (From ""Ek Villain Returns"")",Ankit Tiwari,https://p.scdn.co/mp3-preview/26e21b553bf31414c00a78ba1b7d8585e73c013f?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273b5cb29fed38ae4bc22baa515
4Zzw8CESa97fNrmrvEdIuL,BollyWood,"Phir Na Aisi Raat Aayegi (From ""Laal Singh Chaddha"")",Pritam,https://p.scdn.co/mp3-preview/a96c9890ce084cdb1f8bff0812b8e6fce47c3916?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273c8147c33b79ac3a33ec3fd09
7eNSk0grNnO7MqjLZzs6MM,BollyWood,Fitoor,Mithoon,https://p.scdn.co/mp3-preview/bac0b66cbafc40532701984b83c413035f2d1204?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273d5363fb37271699b514aa60b
4Xba44w0LihzNJj1xgjs8J,BollyWood,"De Taali (From ""Bhool Bhulaiyaa 2"")",Pritam,https://p.scdn.co/mp3-preview/f459bc5cb96d2245e2cc57c6bd6cb5a0d8cfce87?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27325e1aaadd7c17a1ec0cb07e0
7doebiokA0utWXWcw7rD82,BollyWood,Baarishon Mein,Darshan Raval,https://p.scdn.co/mp3-preview/a89009a3ed52bee595611455be75525767fbd767?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2736e16ca50604d540a46cb4226
043SPVu75TXbs94ZfM9dfn,BollyWood,"Dil (From ""Ek Villain Returns"")",Kaushik-Guddu,https://p.scdn.co/mp3-preview/3dc5e33eead1632a40bd9810ed35e49368d2624d?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2736d38100a94298f5ef76e12c5
0DXfJ2iKRDEG7rPgssWFea,BollyWood,"Rangisari (From ""Jugjugg Jeeyo"")",Kanishk Seth,https://p.scdn.co/mp3-preview/490309276e09b815cd252fe0e53d202883ffa3f7?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273989726f025d1225922ae7eb5
1XSSm7oKOzNE8oUapjIRWV,BollyWood,"The Punjaabban Song (From ""Jugjugg Jeeyo"")",Tanishk Bagchi,https://p.scdn.co/mp3-preview/ff0ec1cae04baf7849cefbce4784341386886f83?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273fe4ccbc7269118464a4b2415
7MBqVOzb8C3f0FXr2LBLiq,BollyWood,"Doobey (From ""Gehraiyaan"")",OAFF,https://p.scdn.co/mp3-preview/3d5cef60c4e0a64f2121484b3c26fc2e4e59b576?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273a6dd88a097d77eaa6a5f517f
324Y55zUTRSMdtFwc91csa,BollyWood,Firecracker,Vishal-Shekhar,https://p.scdn.co/mp3-preview/46a42d655a2b09a1ade208293ba080b31533b3d2?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273725d6fbcf599ebe254596bb0
0snQrp1VaY5Pj1YIHRJpRJ,BollyWood,Chaand Baaliyan,Aditya A,https://p.scdn.co/mp3-preview/5518b6fe6feb1e48b41af7a919e012efeb2594b1?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273ec4ecaa0fcf68c0966f21514
6XZWokIxs4leaSmXmU8b26,BollyWood,"Hum Nashe Mein Toh Nahin (From ""Bhool Bhulaiyaa 2"")",Pritam,https://p.scdn.co/mp3-preview/79fd5ea2a0702eb3f805acdd66c0d444d097fba7?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2739f27475f7c7ca4888c160c8c
7Lcp4QlpR3RDngYejm4fmS,BollyWood,"Kahani (From ""Laal Singh Chaddha"")",Pritam,https://p.scdn.co/mp3-preview/06e743bcc8208562e2ec947b73e0d946b3cca2c4?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2730ffa6b77698e64d0ac678cfe
46NYX9zIml71qtfYYjakTI,BollyWood,"Kesariya Audio Teaser (From ""Brahmastra"")",Pritam,https://p.scdn.co/mp3-preview/e531d04d699b7709c7f2b06fc0e329104b665d03?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273358193d702a21397291432ef
7sVEoPc5ZUUQerRkgTypUZ,BollyWood,"Srivalli (From ""Pushpa The Rise Part - 01"")",Javed Ali,https://p.scdn.co/mp3-preview/513c79a6bcf41d75e0f9c7441b8709c3f7f34d7e?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2738074d75f0e453804efcec351
208sMwgVcaFt2mT79Df1KG,BollyWood,"Naacho Naacho (From ""Rrr"")",Vishal Mishra,https://p.scdn.co/mp3-preview/f59c2eb2145c9400c7bc95107f16553ceedc4d22?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2734c30b2c8eaa6ed1b01c518a6
7hUxzSsK2OHjeKWkzeArIU,BollyWood,"Meri Jaan Meri Jaan (From ""Bachchhan Paandey"")",B Praak,https://p.scdn.co/mp3-preview/8e2034cda0abb960eb5ca5c4d3f4fbdcd87df9b9?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273184757d3e40c998121bde956
3P3mOcFeu7OYcsZEZSUiLl,BollyWood,Mehabooba,Ananya Bhat,https://p.scdn.co/mp3-preview/5a21141b2bab0451fdbc1f8cb3348b565e396f0e?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273911520dd787ce172d81623d7
4iEGv5Ne6HuCkFCjzxdWQK,BollyWood,Meri Jaan,Neeti Mohan,https://p.scdn.co/mp3-preview/51a01a447044fdf9ab967602c4d7ea573a26e1cf?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273ecf62f079c978ccb8af626a6
4lmtILzOIIvOzMBPMUzvKx,BollyWood,"Heer Raanjhana (From ""Bachchhan Paandey"")",Amaal Mallik,https://p.scdn.co/mp3-preview/7c6a0dc8ab13ac04c08c8568b3c515e1ba95bd72?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27357689835b9a8486bc3efe3c5
4uK0M8AI6gyFmyzUneQpbi,BollyWood,"Rait Zara Si (From ""Atrangi Re"")",A.R. Rahman,https://p.scdn.co/mp3-preview/2dec221c8364896d17797145e1f8c476013bba0a?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273004f83c1be7d66c4677b32a8
5WzfGg2ueNoOS5aIkaR9qX,BollyWood,Atak Gaya - Arijit Singh,Arijit Singh,https://p.scdn.co/mp3-preview/39dfe0acdd46bf8d73206980a98613f8f7149fab?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273dc53a10529383dc097601a49
2rOnSn2piaqLAlYjtfUBlY,BollyWood,"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,https://p.scdn.co/mp3-preview/e1cfb757eb93b0dea1ffc192c45a50477662e73c?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273a75c2f26913099a420050f01
7I6mwEFQwpTu5ciVZWFpd4,BollyWood,"Aashiqui Aa Gayi(From ""Radhe Shyam"")",Mithoon,https://p.scdn.co/mp3-preview/3483109e2d3cd0fc33ea89c4e37d586ee09d533a?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2737adb02431bdc9627595deb10
2aV8nAkyt5nsWdQTruzgmJ,BollyWood,Dhokha,Arijit Singh,https://p.scdn.co/mp3-preview/4c82e89d41a6a8f78c03b8d01413e8bf2ecbc593?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27382e83ecd42ec31efc4de8db7
5pbOpE6CfRgGnPPZJSDfME,BollyWood,"Chaka Chak (From ""Atrangi Re"")",A.R. Rahman,https://p.scdn.co/mp3-preview/ef9bee87274a3b0f1c7d460ce6cd1752bf37af3a?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273fab83c7e1cdb1e12b148b618
4oglYe270D9yn6Gc0JWc03,BollyWood,"Oo Bolega Ya Oo Oo Bolega (From ""Pushpa The Rise Part - 01"")",Kanika Kapoor,https://p.scdn.co/mp3-preview/05bc78cc7be38a461e972949d4da3a1da7312020?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27357e724ee71e9500dacb1754f
2Og3TvRiujRDfgnkmgaOhW,BollyWood,Dance Meri Rani,Tanishk Bagchi,https://p.scdn.co/mp3-preview/1356a4a8ce7704bdd2c78262805fb0a639a49208?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2731da9402415bfe43cf941e45f
09vHbIezp9NP31CZWysk3v,BollyWood,"Najaa (From ""Sooryavanshi"")",Tanishk Bagchi,https://p.scdn.co/mp3-preview/69fea48614e1ac5971b47ca436bf562e50c0291a?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273779e80010d48e9848669512c
6IWZKBeAkeCzaYNE8SmedK,BollyWood,"Meri Zindagi Hai Tu (From ""Satyameva Jayate 2"")",Rochak Kohli,https://p.scdn.co/mp3-preview/e07f5d41bdb9b71d9cbd8d5f9b910fcf82642021?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27341a4faea52e19cf32040d571
6G699QfN1BWYWXfiblH51F,BollyWood,"Kusu Kusu (From ""Satyameva Jayate 2"")",Tanishk Bagchi,https://p.scdn.co/mp3-preview/a44ddc5b290702a9ce9d75c8afb5436c58ef3e22?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2736c2949cd2c53f81b36a975d1
2hTn8oS49IQULxAWs7hEBz,BollyWood,Sakhiyan2.0,Maninder Buttar,https://p.scdn.co/mp3-preview/462ebfa1d145a5c62e0999ef68dba26e4a7205a5?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273c439bb00ab53ff82d8622064
72zHuDxFQTjbL51qJQSA7j,BollyWood,"Ranjha (From ""Shershaah"")",Jasleen Royal,https://p.scdn.co/mp3-preview/a63723ba91119b52b57d1417dffa5399d5a2fe1b?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27309426d9ae9d8d981735ebc5e
0tpwqQhdfJXRcUDSNRjb9O,BollyWood,"Mere Yaaraa (From ""Sooryavanshi"")",Arijit Singh,https://p.scdn.co/mp3-preview/421618b42b869b54862051b236feb1bda746d4c9?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2733361905e288acb907f181f6a
7HPM13Xek5XoRWxRzHfvkB,BollyWood,Dil Galti Kar Baitha Hai,Jubin Nautiyal,https://p.scdn.co/mp3-preview/4365733e48b14dbf9d134abbc3ced5fec41302b3?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2739a0cfca9e6c069d1a53b962b
5zfRl79umXWvKoA7p4KEPa,BollyWood,"Tip Tip (From ""Sooryavanshi"")",Tanishk Bagchi,https://p.scdn.co/mp3-preview/909cc3f9eeb766874a5b5f92ff431b94adc2f6f4?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273645abdb9d81057165c30fed5
6qZyM6JV8ohLC4S2EL5sFh,BollyWood,Barbaadiyan,Sachet Tandon,https://p.scdn.co/mp3-preview/34d0970287c23de5563d1dc2ea57a1a0fae9bc92?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273e4c77dc1b6c85c754f7f136c
3KeMulXbLDJBQdY5PZbGEh,BollyWood,Param Sundari,A.R. Rahman,https://p.scdn.co/mp3-preview/d9df57380359fc41bc115e70f6ebbb5f330f98d6?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2731c7bfe8d9d66076ac648c4a1
47Rqh5ZSamtIOFi7G6VgFJ,BollyWood,Paani Paani,Badshah,https://p.scdn.co/mp3-preview/b5bdb658b18d96d847900c0de2eaf1cda3195a19?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273c3dbcb00d6b26d01a6d6cdcc
2ufLEVbzvEcJ3subW8jBUp,BollyWood,Lut Gaye,Jubin Nautiyal,https://p.scdn.co/mp3-preview/60e40221b91d510b77cb70e9eda6177c4d338f44?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2738634403946cb8f08b83e4c40
2PEo8JQ48mfEv8a2HLqDvt,BollyWood,"Nadiyon Paar (Let the Music Play Again) (From ""Roohi"")",Sachin-Jigar,https://p.scdn.co/mp3-preview/85f66350e0aa7f1281bb9f33bdfebfe41035f613?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273ffc13e3ca95b0ed67e320082
5urYiIXu1ZhfMAOsp7WDTc,BollyWood,"Dil Ko Karaar Aaya (From ""Sukoon"")",Yasser Desai,https://p.scdn.co/mp3-preview/eb973a77c7f52514c4d6596dcf256aa7eb393033?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2739acc843616b7226a85f201db
5nsET7aVWXu017lsQjRFCV,BollyWood,Thoda Thoda Pyaar,Stebin Ben,https://p.scdn.co/mp3-preview/b14cee1cf7f7933e025fdc00542b8b74805ff7b0?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273ab75b015b6f615baeb638d11
0yCWDaAgOtg6TKlNCg9rwA,BollyWood,Tu Aake Dekhle,King,https://p.scdn.co/mp3-preview/f8de7d415bf18af1031a08d01cce95c8dfc2aaea?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273e0fc847e272a9bf7a04643da
018eOid2aGaPdxon7T6GsC,BollyWood,"Shayad (From ""Love Aaj Kal"")",Pritam,https://p.scdn.co/mp3-preview/f78d00e46299a1b1ba90c19969eaaf4edb020243?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2735ce250ed772675c347a34f64
57jOEZtoLQK4zF2x55bdkp,BollyWood,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",Rochak Kohli,https://p.scdn.co/mp3-preview/be13643772a32958a7c4d97a8f556552a011fd56?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2739c48ffd6b1a9a43b9a74c66c
4PwTeFfKqmR3XIeXXUBDOf,BollyWood,"Maiyya Mainu (From ""Jersey"")",Sachet-Parampara,https://p.scdn.co/mp3-preview/324d859b5937620579493eb1b41fbb56f06fd130?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27300d12007dd5bc11336ea49cf
0FaYl39oV2OPFGYJ6MbILr,BollyWood,"Main Ki Karaan? (From ""Laal Singh Chaddha"")",Pritam,https://p.scdn.co/mp3-preview/edc4b2348b153bdfaed427dbb0cbd7aba6f7abc1?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27376293b96fc53906909233a7a
6h6kOAlIeWdsqNopumppU5,BollyWood,"Kitni Haseen Hogi (From ""Hit - The First Case"")",Mithoon,https://p.scdn.co/mp3-preview/a5192b8e071d0290caf582e798e35f9534fd7a44?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273719c602ac25334838c6bdd03
3gc2Rho0Tn8i4LBgf6f2O5,BollyWood,"Soch Liya (From ""Radhe Shyam"")",Mithoon,https://p.scdn.co/mp3-preview/c859316428070a71d308cf9c53ac8e6ce0efc72a?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27359dac52af549bd78c1cfeb9b
2q9biTikX9PkTbzDCZfEn7,BollyWood,"Ik Tu Hai ❤️ (From ""Attack"")",Jubin Nautiyal,https://p.scdn.co/mp3-preview/d42634ac86ad8583cceec9428297052f633f5ebd?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273bdd10e47eae922322dddc1cc
3vBojOn8Nz8gMQmIBeN00M,BollyWood,"Gehraiyaan Title Track (From ""Gehraiyaan"")",OAFF,https://p.scdn.co/mp3-preview/1814ac32b701095c02fe93bc486190c1f2a88f99?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27316d7d01650671fd0a9f040eb
5akb3M2p00EhXATJpHbUFD,BollyWood,"Baliye Re (From ""Jersey"")",Sachet-Parampara,https://p.scdn.co/mp3-preview/f937172a9c3241b872208301d6ced2b97c32f2a3?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27383c9859d163dd6f1634daf4f
4Xqz9Rb62iJjmLUxt9Qa7K,BollyWood,"Mehram (From ""Jersey"")",Sachet Tandon,https://p.scdn.co/mp3-preview/29a7e9debfa2c9a39e0f99607e5c4e79f9e57be8?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273dae702d4ba242d370d5dc639
5YRF192d5rE7xk6cT1H6wN,BollyWood,"Maafi (From ""Chandigarh Kare Aashiqui"")",Ayushmann Khurrana,https://p.scdn.co/mp3-preview/d7500c8ec240715b3e7f3ae6db60eb9dacbedd8c?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27338aa49d4c11f3bc1f34db42d
5o6q9gQXi5umBrUczroW79,BollyWood,"Kalle Kalle (From ""Chandigarh Kare Aashiqui"")",Priya Saraiya,https://p.scdn.co/mp3-preview/6a6a1627adb69bcaa26bb0f34a0eb1931a8c3b7d?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273d1becbc1ec5864dfe8efc850
2cC4DfpPa7x1QZTKQpe3TP,BollyWood,"Tumse Bhi Zyada (From ""Tadap"")",Pritam,https://p.scdn.co/mp3-preview/4bc2800c951d00dca40deee0f05e7f4ffc9fc288?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273188811ccc07858f25f389f8b
